number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,params_n_units_l5,params_optimizer,params_weight_decay,user_attrs_best_epoch,user_attrs_best_val_mae,user_attrs_model_params,state
23,1469.622314453125,2026-03-24 00:28:45.628166,2026-03-24 00:28:59.820267,0 days 00:00:14.192101,64,0.00012103029032598574,0.09064722037281807,2,28,15,,,,,SGD,5.42143120861154e-05,191.0,1469.622314453125,789.0,COMPLETE
24,1455.47607421875,2026-03-24 00:28:59.842598,2026-03-24 00:29:16.434211,0 days 00:00:16.591613,64,0.018214167219292025,0.07020616878068997,3,42,38,13.0,,,,SGD,2.1593173603445135e-05,186.0,1455.47607421875,2719.0,COMPLETE
25,1508.869873046875,2026-03-24 00:29:16.453328,2026-03-24 00:29:23.022688,0 days 00:00:06.569360,64,0.01932060409009826,0.0698657166483352,3,41,38,8.0,,,,SGD,1.9798469523111206e-05,39.0,1508.869873046875,2460.0,COMPLETE
26,1674.0069580078125,2026-03-24 00:29:23.051087,2026-03-24 00:29:30.398308,0 days 00:00:07.347221,64,0.03734922463759452,0.07391928010613386,2,45,23,,,,,SGD,3.199785134206551e-05,90.0,1674.0069580078125,1623.0,COMPLETE
27,1473.5672607421875,2026-03-24 00:29:30.427376,2026-03-24 00:29:44.130434,0 days 00:00:13.703058,64,0.029164629663049002,0.08360754005884095,4,56,29,13.0,26.0,,,Adam,1.9757802247817576e-05,135.0,1473.5672607421875,3186.0,COMPLETE
28,2148.5009765625,2026-03-24 00:29:44.147691,2026-03-24 00:29:50.788788,0 days 00:00:06.641097,16,0.017705640108919098,0.04513857705357202,3,35,36,18.0,,,,RMSprop,6.985663375431166e-05,,,,PRUNED
29,1559.661376953125,2026-03-24 00:29:50.802356,2026-03-24 00:29:59.116181,0 days 00:00:08.313825,64,0.011854687510760202,0.06309760302880751,4,53,32,32.0,54.0,,,SGD,1.3891492314707989e-05,87.0,1559.661376953125,5440.0,COMPLETE
30,1645.2352294921875,2026-03-24 00:29:59.134156,2026-03-24 00:30:17.704089,0 days 00:00:18.569933,32,0.024388253845637937,0.075079223398139,4,43,13,51.0,17.0,,,Adam,0.00013451675553062878,111.0,1645.2352294921875,2823.0,COMPLETE
31,1420.2889404296875,2026-03-24 00:30:17.721892,2026-03-24 00:30:31.737063,0 days 00:00:14.015171,64,0.009942591327895276,0.09178750709435692,3,15,56,25.0,,,,SGD,4.1213801192061676e-05,221.0,1420.2889404296875,2674.0,COMPLETE
32,1446.540771484375,2026-03-24 00:30:31.754711,2026-03-24 00:30:41.995626,0 days 00:00:10.240915,64,0.010597095278366166,0.09324175927278638,3,13,49,21.0,,,,SGD,3.669619896928427e-05,154.0,1446.540771484375,2041.0,COMPLETE
33,1457.16845703125,2026-03-24 00:30:42.015751,2026-03-24 00:30:58.469709,0 days 00:00:16.453958,64,0.0075271517258891606,0.09390214133212327,2,12,59,,,,,SGD,3.798417822536029e-05,307.0,1457.16845703125,1077.0,COMPLETE
34,1539.0765380859375,2026-03-24 00:30:58.488822,2026-03-24 00:31:04.872943,0 days 00:00:06.384121,64,0.0010659964151632476,0.08441406813277731,3,18,50,23.0,,,,SGD,6.738630278835172e-05,79.0,1539.0765380859375,2491.0,COMPLETE
35,1421.7403564453125,2026-03-24 00:31:04.888683,2026-03-24 00:31:17.514000,0 days 00:00:12.625317,64,0.012244438387696132,0.09474721995937638,6,14,49,19.0,30.0,33.0,9.0,SGD,3.801024520291603e-05,136.0,1421.7403564453125,4058.0,COMPLETE
36,1558.580322265625,2026-03-24 00:31:17.533561,2026-03-24 00:31:27.737878,0 days 00:00:10.204317,64,0.04168818787047682,0.07875362214545578,6,21,49,19.0,34.0,33.0,9.0,SGD,3.959729833012425e-05,102.0,1558.580322265625,4698.0,COMPLETE
37,2538.38671875,2026-03-24 00:31:27.756745,2026-03-24 00:31:32.584164,0 days 00:00:04.827419,32,0.034117877446076195,0.09418726824673586,5,13,51,26.0,34.0,34.0,,RMSprop,3.703116743399964e-05,,,,PRUNED
38,5494.02294921875,2026-03-24 00:31:32.603064,2026-03-24 00:31:35.464930,0 days 00:00:02.861866,64,0.006794647394905038,0.08612712259215631,6,15,59,33.0,48.0,46.0,8.0,Adam,1.4438818966043743e-05,,,,PRUNED
39,1832.4749755859375,2026-03-24 00:31:35.498869,2026-03-24 00:31:55.065065,0 days 00:00:19.566196,16,0.0048307179811780815,0.08093938213461667,5,22,45,16.0,19.0,23.0,,SGD,9.396568477410102e-05,66.0,1832.4749755859375,3026.0,COMPLETE
40,1466.0885009765625,2026-03-24 00:31:55.079950,2026-03-24 00:32:08.278098,0 days 00:00:13.198148,64,0.022411304021050425,0.09317459582068667,6,18,46,63.0,30.0,40.0,33.0,SGD,2.6073708024454542e-05,135.0,1466.0885009765625,9004.0,COMPLETE
41,1555.154052734375,2026-03-24 00:32:08.296584,2026-03-24 00:32:17.019301,0 days 00:00:08.722717,64,0.011097949689617704,0.09530687593184943,3,9,53,21.0,,,,SGD,6.466037518848408e-05,115.0,1555.154052734375,1933.0,COMPLETE
42,1769.087646484375,2026-03-24 00:32:17.036104,2026-03-24 00:32:22.330820,0 days 00:00:05.294716,64,0.014822492249775141,0.09029103672062531,2,12,40,,,,,SGD,5.139161645041605e-05,70.0,1769.087646484375,773.0,COMPLETE
43,1611.564697265625,2026-03-24 00:32:22.347760,2026-03-24 00:32:28.287600,0 days 00:00:05.939840,64,0.030018487327427762,0.08717458839113217,3,11,60,43.0,,,,SGD,9.441048226593907e-05,62.0,1611.564697265625,3714.0,COMPLETE
44,1482.5203857421875,2026-03-24 00:32:28.302584,2026-03-24 00:32:44.653032,0 days 00:00:16.350448,64,0.003979797509014582,0.03780798227499427,4,15,22,28.0,47.0,,,SGD,3.976094919935507e-05,227.0,1482.5203857421875,2766.0,COMPLETE
45,1516.705810546875,2026-03-24 00:32:44.670598,2026-03-24 00:32:55.581496,0 days 00:00:10.910898,32,0.01247346937481408,0.09647913047248682,2,8,47,,,,,SGD,4.4200935214920293e-05,122.0,1516.705810546875,653.0,COMPLETE
46,1605.665771484375,2026-03-24 00:32:55.597748,2026-03-24 00:33:04.870530,0 days 00:00:09.272782,64,0.07464021468586832,0.07836024405620282,4,28,56,37.0,56.0,,,RMSprop,2.478348731993124e-05,73.0,1605.665771484375,6524.0,COMPLETE
47,1885.501708984375,2026-03-24 00:33:04.894432,2026-03-24 00:33:16.480946,0 days 00:00:11.586514,16,0.016332821541786554,0.09153547182851683,3,16,42,14.0,,,,SGD,0.00014267446513099795,37.0,1885.501708984375,1619.0,COMPLETE
48,1463.7904052734375,2026-03-24 00:33:16.495772,2026-03-24 00:33:25.080600,0 days 00:00:08.584828,64,0.0002561594295800141,0.08691866953669668,4,13,53,21.0,17.0,,,SGD,8.2379070611076e-05,101.0,1463.7904052734375,2593.0,COMPLETE
49,1590.9708251953125,2026-03-24 00:33:25.101368,2026-03-24 00:33:31.423297,0 days 00:00:06.321929,64,0.008267149069836513,0.0830911084288798,3,19,29,41.0,,,,SGD,0.00030591704025331994,75.0,1590.9708251953125,2201.0,COMPLETE
50,8351.00390625,2026-03-24 00:33:31.439110,2026-03-24 00:33:33.778625,0 days 00:00:02.339515,32,0.020511205280603184,0.010383908373715306,2,37,61,,,,,Adam,3.309780950720574e-05,,,,PRUNED
51,1626.76318359375,2026-03-24 00:33:33.792309,2026-03-24 00:33:40.706483,0 days 00:00:06.914174,64,0.0049139251015433835,0.09997985838037023,3,46,42,12.0,,,,SGD,0.0009805134027019461,93.0,1626.76318359375,3117.0,COMPLETE
52,1493.06005859375,2026-03-24 00:33:40.724242,2026-03-24 00:33:51.351362,0 days 00:00:10.627120,64,0.017714547989051355,0.09573365141929904,3,39,57,15.0,,,,SGD,2.16858443499289e-05,143.0,1493.06005859375,3739.0,COMPLETE
53,1710.784423828125,2026-03-24 00:33:51.367871,2026-03-24 00:33:56.345399,0 days 00:00:04.977528,64,0.08946881159892,0.05821594293117584,3,48,34,11.0,,,,SGD,1.7368005512636155e-05,45.0,1710.784423828125,2681.0,COMPLETE
54,1463.34423828125,2026-03-24 00:33:56.361374,2026-03-24 00:34:08.983156,0 days 00:00:12.621782,64,0.013059569984754332,0.049660556460057015,3,43,25,16.0,,,,SGD,5.909858731637387e-05,209.0,1463.34423828125,2088.0,COMPLETE
55,1471.3570556640625,2026-03-24 00:34:09.001724,2026-03-24 00:34:24.381192,0 days 00:00:15.379468,64,0.024863593417377438,0.09002452112964414,3,33,48,26.0,,,,SGD,4.605359285896185e-05,234.0,1471.3570556640625,3444.0,COMPLETE
56,1629.0716552734375,2026-03-24 00:34:24.399126,2026-03-24 00:34:30.425936,0 days 00:00:06.026810,64,0.010161985223126748,0.062324963372413354,4,10,8,22.0,42.0,,,SGD,1.1740065908431635e-05,57.0,1629.0716552734375,1549.0,COMPLETE
57,3212.131103515625,2026-03-24 00:34:30.441498,2026-03-24 00:34:31.939135,0 days 00:00:01.497637,64,0.0034799840620161216,0.07088711910136603,2,23,17,,,,,RMSprop,2.7332256473480588e-05,,,,PRUNED
58,2192.12939453125,2026-03-24 00:34:31.950494,2026-03-24 00:34:52.958033,0 days 00:00:21.007539,16,0.021433217924497424,0.09747754551137837,3,42,39,19.0,,,,SGD,2.1935037321535384e-05,,,,PRUNED
59,1508.1197509765625,2026-03-24 00:34:52.975064,2026-03-24 00:35:02.867414,0 days 00:00:09.892350,64,0.016221495823214166,0.07661539808914744,4,50,27,40.0,30.0,,,SGD,3.413992084143988e-05,106.0,1508.1197509765625,4502.0,COMPLETE
60,1477.125244140625,2026-03-24 00:35:02.883632,2026-03-24 00:35:14.914038,0 days 00:00:12.030406,64,0.008408988105420494,0.09282450122949142,3,31,23,46.0,,,,SGD,4.770882606276823e-05,192.0,1477.125244140625,2366.0,COMPLETE
61,1485.9742431640625,2026-03-24 00:35:14.931403,2026-03-24 00:35:25.999450,0 days 00:00:11.068047,64,0.00610172690974148,0.09984036988304139,3,25,51,26.0,,,,SGD,7.621308552157394e-05,162.0,1485.9742431640625,3134.0,COMPLETE
